gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0002010.1	0	0.113535
HORVU.MOREX.r2.1HG0002020.1	12.8385	15.4062
HORVU.MOREX.r2.1HG0002030.1	0	0
HORVU.MOREX.r2.1HG0002040.1	88.3556	151.423
HORVU.MOREX.r2.1HG0002050.1	1.49397	1.82162
HORVU.MOREX.r2.1HG0002060.1	2.10586	1.19214
HORVU.MOREX.r2.1HG0002070.1	1358.25	1671.13
HORVU.MOREX.r2.1HG0002080.1	0	0.310306
HORVU.MOREX.r2.1HG0002090.1	0.0888684	0.12761
HORVU.MOREX.r2.1HG0002100.1	0	0
HORVU.MOREX.r2.1HG0002110.1	0	0
HORVU.MOREX.r2.1HG0002120.1	0	0
HORVU.MOREX.r2.1HG0002130.1	0	0
HORVU.MOREX.r2.1HG0002140.1	0	0
HORVU.MOREX.r2.1HG0002150.1	0	0
HORVU.MOREX.r2.1HG0002160.1	0	0
HORVU.MOREX.r2.1HG0002170.1	15.0971	23.4409
HORVU.MOREX.r2.1HG0002180.1	20.3864	20.9726
HORVU.MOREX.r2.1HG0002190.1	16.4079	30.5382
HORVU.MOREX.r2.1HG0002200.1	19.9275	25.903
HORVU.MOREX.r2.1HG0002210.1	0.168069	0.160834
HORVU.MOREX.r2.1HG0002220.1	0	0
HORVU.MOREX.r2.1HG0002230.1	0	0
HORVU.MOREX.r2.1HG0002240.1	0	0
HORVU.MOREX.r2.1HG0002250.1	0	0
HORVU.MOREX.r2.1HG0002260.1	0	0
HORVU.MOREX.r2.1HG0002270.1	0	1.44613
HORVU.MOREX.r2.1HG0002280.1	41.8942	49.168
HORVU.MOREX.r2.1HG0002290.1	0.675047	2.76611
HORVU.MOREX.r2.1HG0002300.1	41.8942	49.168
HORVU.MOREX.r2.1HG0002310.1	0.12739	0.290483
HORVU.MOREX.r2.1HG0002320.1	0.188367	0.0749887
HORVU.MOREX.r2.1HG0002330.1	12.875	13.9424
HORVU.MOREX.r2.1HG0002340.1	0	0.130366
HORVU.MOREX.r2.1HG0002350.1	7.82655	19.092
HORVU.MOREX.r2.1HG0002360.1	0	0
HORVU.MOREX.r2.1HG0002370.1	0	0
HORVU.MOREX.r2.1HG0002380.1	0	0
HORVU.MOREX.r2.1HG0002390.1	0	0
HORVU.MOREX.r2.1HG0002400.1	0	0.303928
HORVU.MOREX.r2.1HG0002410.1	0	0
HORVU.MOREX.r2.1HG0002420.1	0	0
HORVU.MOREX.r2.1HG0002430.1	0	0
HORVU.MOREX.r2.1HG0002440.1	0	0
HORVU.MOREX.r2.1HG0002450.1	0	0
HORVU.MOREX.r2.1HG0002460.1	0	0
HORVU.MOREX.r2.1HG0002470.1	0	0
HORVU.MOREX.r2.1HG0002480.1	0	0
HORVU.MOREX.r2.1HG0002490.1	0	0
HORVU.MOREX.r2.1HG0002500.1	0	0
HORVU.MOREX.r2.1HG0002510.1	0	0
HORVU.MOREX.r2.1HG0002520.1	0	0
HORVU.MOREX.r2.1HG0002530.1	0.159205	0.0362832
HORVU.MOREX.r2.1HG0002540.1	0	0.232451
HORVU.MOREX.r2.1HG0002550.1	0	0
HORVU.MOREX.r2.1HG0002560.1	0	0
HORVU.MOREX.r2.1HG0002570.1	0	0
HORVU.MOREX.r2.1HG0002580.1	0	0
HORVU.MOREX.r2.1HG0002590.1	16.5499	16.1933
HORVU.MOREX.r2.1HG0002600.1	0	0
