gene_id	yzy02_1	yzy01_3
A.satnudSFS1A01G000206.1	0	0
A.satnudSFS1A01G000207.1	58	51.022
A.satnudSFS1A01G000208.1	0	0
A.satnudSFS1A01G000209.1	14	13
A.satnudSFS1A01G000210.1	11	3
A.satnudSFS1A01G000211.1	348.155	284.848
A.satnudSFS1A01G000212.1	30.687	28.376
A.satnudSFS1A01G000213.1	889.179	447.114
A.satnudSFS1A01G000214.1	39	31.995
A.satnudSFS1A01G000215.1	0	0
A.satnudSFS1A01G000216.1	18.192	18.995
A.satnudSFS1A01G000217.1	11	2
A.satnudSFS1A01G000218.1	0	0
A.satnudSFS1A01G000219.1	0	0
A.satnudSFS1A01G000220.1	0	0
A.satnudSFS1A01G000221.1	0	0
A.satnudSFS1A01G000222.1	0	0
A.satnudSFS1A01G000223.1	232.446	222.047
A.satnudSFS1A01G000224.1	0	0
A.satnudSFS1A01G000225.1	225.649	205.012
A.satnudSFS1A01G000226.1	0	0
A.satnudSFS1A01G000227.1	0	0
A.satnudSFS1A01G000228.1	11	5
A.satnudSFS1A01G000229.1	6	8
A.satnudSFS1A01G000230.1	0	1
A.satnudSFS1A01G000231.1	0	0
A.satnudSFS1A01G000232.1	0	0
A.satnudSFS1A01G000233.1	0	1
A.satnudSFS1A01G000234.1	0	0
A.satnudSFS1A01G000235.1	0	2
A.satnudSFS1A01G000236.1	41	40.35
A.satnudSFS1A01G000237.1	693.566	652.663
A.satnudSFS1A01G000238.1	0	0
A.satnudSFS1A01G000239.1	0	0
A.satnudSFS1A01G000240.1	0	0
A.satnudSFS1A01G000241.1	1	0
A.satnudSFS1A01G000242.1	0	0
A.satnudSFS1A01G000243.1	0	0
A.satnudSFS1A01G000244.1	0	0
A.satnudSFS1A01G000245.1	0	0
A.satnudSFS1A01G000246.1	165.683	143.636
A.satnudSFS1A01G000247.1	152.555	69.789
A.satnudSFS1A01G000248.1	0	0
A.satnudSFS1A01G000249.1	0	0
A.satnudSFS1A01G000250.1	1	0
A.satnudSFS1A01G000251.1	0	0
A.satnudSFS1A01G000252.1	0	0
A.satnudSFS1A01G000253.1	247.072	343.001
A.satnudSFS1A01G000254.1	0	0
A.satnudSFS1A01G000255.1	1	0
A.satnudSFS1A01G000256.1	559.055	606.187
A.satnudSFS1A01G000257.1	227.99	225
A.satnudSFS1A01G000258.1	61.759	56.485
A.satnudSFS1A01G000259.1	28	14
A.satnudSFS1A01G000260.1	0	0
A.satnudSFS1A01G000261.1	6	3
A.satnudSFS1A01G000262.1	5	17
A.satnudSFS1A01G000263.1	9	23
A.satnudSFS1A01G000264.1	0	0
A.satnudSFS1A01G000265.1	142	166
A.satnudSFS1A01G000266.1	1.637	3.567
A.satnudSFS1A01G000267.1	1.363	3.433
A.satnudSFS1A01G000268.1	0	0
A.satnudSFS1A01G000269.1	64	126
A.satnudSFS1A01G000270.1	7	8
A.satnudSFS1A01G000271.1	0	0
A.satnudSFS1A01G000272.1	0	0
A.satnudSFS1A01G000273.1	0	0
A.satnudSFS1A01G000274.1	219.278	169.64
A.satnudSFS1A01G000275.1	0	1
A.satnudSFS1A01G000276.1	0	0
A.satnudSFS1A01G000277.1	0	0
A.satnudSFS1A01G000278.1	0	0
A.satnudSFS1A01G000279.1	8.002	8
A.satnudSFS1A01G000280.1	15.294	18.563
A.satnudSFS1A01G000281.1	1	0
A.satnudSFS1A01G000282.1	18.045	7
A.satnudSFS1A01G000283.1	0	1
A.satnudSFS1A01G000284.1	0	2
A.satnudSFS1A01G000285.1	16.046	37.594
A.satnudSFS1A01G000286.1	302.998	334.33
A.satnudSFS1A01G000287.1	0	0
A.satnudSFS1A01G000288.1	5	1.013
A.satnudSFS1A01G000289.1	2	4
A.satnudSFS1A01G000290.1	0	0
A.satnudSFS1A01G000291.1	23	16
A.satnudSFS1A01G000292.1	0	0
A.satnudSFS1A01G000293.1	0	0
A.satnudSFS1A01G000294.1	98.308	130.97
A.satnudSFS1A01G000295.1	0	0
A.satnudSFS1A01G000296.1	2	13
A.satnudSFS1A01G000297.1	351.707	222.278
A.satnudSFS1A01G000298.1	387.475	359.477
A.satnudSFS1A01G000299.1	303.891	222.455
A.satnudSFS1A01G000300.1	6	2
A.satnudSFS1A01G000301.1	0	0
A.satnudSFS1A01G000302.1	0	0
A.satnudSFS1A01G000303.1	0	0
A.satnudSFS1A01G000304.1	1.996	0
A.satnudSFS1A01G000305.1	0	0
