gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0001970.1	0	0
HORVU.MOREX.r2.1HG0001980.1	86.87886925795053	199.18836749116608
HORVU.MOREX.r2.1HG0001990.1	0	0.40371215686274514
HORVU.MOREX.r2.1HG0002000.1	0	0
HORVU.MOREX.r2.1HG0002010.1	0	1.217611111111111
HORVU.MOREX.r2.1HG0002020.1	1291.6335084541063	1942.934734299517
HORVU.MOREX.r2.1HG0002030.1	0	0
HORVU.MOREX.r2.1HG0002040.1	62.51196380952381	135.3942361904762
HORVU.MOREX.r2.1HG0002050.1	58.65991077119184	89.70950924155514
HORVU.MOREX.r2.1HG0002060.1	1.9432895833333335	1.3977380952380953
HORVU.MOREX.r2.1HG0002070.1	449.6797992063492	757.0344833333334
HORVU.MOREX.r2.1HG0002080.1	0	0.23818778877887792
HORVU.MOREX.r2.1HG0002090.1	4.306655755591926	7.755122749590835
HORVU.MOREX.r2.1HG0002100.1	0	0
HORVU.MOREX.r2.1HG0002110.1	0	0
HORVU.MOREX.r2.1HG0002120.1	0	0
HORVU.MOREX.r2.1HG0002130.1	0	0
HORVU.MOREX.r2.1HG0002140.1	0	0
HORVU.MOREX.r2.1HG0002150.1	0	0
HORVU.MOREX.r2.1HG0002160.1	0	0
HORVU.MOREX.r2.1HG0002170.1	13.40177957957958	26.440908108108104
HORVU.MOREX.r2.1HG0002180.1	821.6942714196373	1060.212382739212
HORVU.MOREX.r2.1HG0002190.1	123.80759512195122	289.8198699186992
HORVU.MOREX.r2.1HG0002200.1	188.17427876106194	307.4224867256637
HORVU.MOREX.r2.1HG0002210.1	3.8329522497704316	4.603090909090909
HORVU.MOREX.r2.1HG0002220.1	0	0
HORVU.MOREX.r2.1HG0002230.1	0	0
HORVU.MOREX.r2.1HG0002240.1	0	0
HORVU.MOREX.r2.1HG0002250.1	0	0
HORVU.MOREX.r2.1HG0002260.1	0	0
HORVU.MOREX.r2.1HG0002270.1	0	0.5880822784810127
HORVU.MOREX.r2.1HG0002280.1	11.94082911392405	19.994601440928268
HORVU.MOREX.r2.1HG0002290.1	5.09365569902439	26.251507580487804
HORVU.MOREX.r2.1HG0002300.1	11.94082911392405	19.994601440928268
HORVU.MOREX.r2.1HG0002310.1	7.620278036161334	21.787424974501622
HORVU.MOREX.r2.1HG0002320.1	1.0795072463768116	0.5410253623188406
HORVU.MOREX.r2.1HG0002330.1	384.251512345679	522.0343672839506
HORVU.MOREX.r2.1HG0002340.1	0	1.1509916247906198
HORVU.MOREX.r2.1HG0002350.1	216.7210389294404	663.3008394160584
HORVU.MOREX.r2.1HG0002360.1	0	0
HORVU.MOREX.r2.1HG0002370.1	0	0
HORVU.MOREX.r2.1HG0002380.1	0	0
HORVU.MOREX.r2.1HG0002390.1	0	0
HORVU.MOREX.r2.1HG0002400.1	0	0.09303712121212122
HORVU.MOREX.r2.1HG0002410.1	0	0
HORVU.MOREX.r2.1HG0002420.1	0	0
HORVU.MOREX.r2.1HG0002430.1	0	0
